Tileposition,Tile,Rod,Family
16,4,76,LSxSB
11,5,100,LSxSB
11,6,88,LSxSB
2,7,92,LSxSB
2,8,104,LSxSB
3,9,102,LSxSB
1,10,94,LSxSB
8,11,90,LSxSB
11,12,78,LSxSB
2,13,106,LSxSB
6,14,98,LSxSB
2,15,96,LSxSB
6,16,72,LSxSB
7,17,82,LSxSB
12,19,86,LSxSB
13,1,98,SBxDR
9,2,97,SBxDR
2,3,90,SBxDR
13,4,95,SBxDR
9,6,91,SBxDR
7,7,96,SBxDR
10,8,88,SBxDR
16,9,87,SBxDR
7,10,92,SBxDR
15,11,89,SBxDR
5,13,93,SBxDR
10,14,102,SBxDR
15,15,100,SBxDR
8,16,85,SBxDR
13,17,99,SBxDR
14,18,104,SBxDR
3,19,84,SBxDR
1,20,107,SBxDR
3,21,86,SBxDR
2,22,105,SBxDR
8,23,106,SBxDR
13,24,103,SBxDR
14,25,101,SBxDR
11,26,83,SBxDR
13,27,74,SBxDR
3,28,80,SBxDR
15,29,78,SBxDR
1,30,77,SBxDR
6,31,82,SBxDR
6,32,73,SBxDR
10,33,79,SBxDR
15,34,76,SBxDR
7,35,72,SBxDR
3,36,75,SBxDR
1,37,81,SBxDR
7,38,110,SBxDR
12,39,108,SBxDR
12,40,109,SBxDR
13,112,94,SBxDR
3,1,79,SBxLS
9,2,89,SBxLS
13,3,81,SBxLS
6,4,101,SBxLS
3,5,95,SBxLS
5,6,103,SBxLS
7,7,91,SBxLS
4,8,93,SBxLS
6,9,105,SBxLS
4,10,77,SBxLS
3,11,99,SBxLS
13,12,87,SBxLS
11,13,85,SBxLS
2,14,97,SBxLS
2,15,73,SBxLS
6,16,83,SBxLS
16,18,75,SBxLS
6,1,108,SBxSB
7,2,118,SBxSB
4,3,142,SBxSB
8,4,144,SBxSB
10,5,147,SBxSB
7,6,145,SBxSB
4,7,143,SBxSB
12,8,144,SBxSB
2,9,145,SBxSB
2,10,142,SBxSB
3,11,147,SBxSB
7,12,144,SBxSB
9,13,142,SBxSB
5,14,150,SBxSB
9,15,143,SBxSB
14,16,143,SBxSB
7,17,146,SBxSB
6,18,110,SBxSB
8,20,111,SBxSB
5,21,107,SBxSB
4,22,86,SBxSB
1,23,116,SBxSB
9,24,112,SBxSB
13,25,109,SBxSB
12,26,127,SBxSB
3,27,91,SBxSB
14,28,126,SBxSB
4,29,117,SBxSB
9,30,127,SBxSB
8,31,88,SBxSB
14,32,124,SBxSB
9,33,113,SBxSB
12,34,128,SBxSB
8,35,119,SBxSB
9,36,125,SBxSB
13,37,102,SBxSB
5,38,134,SBxSB
3,39,131,SBxSB
15,40,101,SBxSB
2,41,132,SBxSB
5,42,130,SBxSB
10,43,130,SBxSB
5,44,133,SBxSB
9,45,131,SBxSB
5,46,115,SBxSB
12,47,133,SBxSB
10,48,134,SBxSB
6,49,132,SBxSB
4,50,129,SBxSB
9,51,129,SBxSB
5,52,139,SBxSB
5,53,85,SBxSB
3,54,150,SBxSB
10,55,148,SBxSB
9,56,141,SBxSB
7,57,140,SBxSB
6,58,141,SBxSB
3,59,139,SBxSB
3,60,141,SBxSB
2,61,151,SBxSB
2,62,148,SBxSB
1,63,151,SBxSB
6,64,148,SBxSB
9,65,150,SBxSB
8,66,138,SBxSB
6,67,150,SBxSB
8,68,150,SBxSB
5,69,84,SBxSB
6,70,138,SBxSB
6,71,147,SBxSB
3,72,120,SBxSB
14,73,125,SBxSB
13,74,145,SBxSB
4,75,146,SBxSB
7,76,100,SBxSB
13,77,135,SBxSB
10,78,150,SBxSB
1,79,146,SBxSB
8,80,89,SBxSB
1,81,150,SBxSB
4,82,124,SBxSB
3,83,122,SBxSB
10,84,128,SBxSB
9,85,126,SBxSB
5,86,121,SBxSB
7,87,123,SBxSB
10,88,123,SBxSB
1,89,114,SBxSB
3,90,138,SBxSB
2,91,93,SBxSB
1,92,83,SBxSB
5,93,75,SBxSB
5,94,77,SBxSB
10,95,73,SBxSB
8,96,82,SBxSB
4,97,94,SBxSB
12,98,74,SBxSB
5,99,80,SBxSB
14,100,78,SBxSB
15,101,79,SBxSB
7,102,81,SBxSB
1,103,72,SBxSB
14,104,135,SBxSB
7,105,76,SBxSB
9,106,151,SBxSB
8,107,151,SBxSB
9,108,149,SBxSB
10,109,151,SBxSB
8,110,149,SBxSB
4,111,151,SBxSB
14,112,150,SBxSB
7,113,151,SBxSB
11,114,149,SBxSB
5,115,149,SBxSB
6,116,149,SBxSB
3,117,149,SBxSB
2,118,149,SBxSB
6,119,151,SBxSB
3,120,151,SBxSB
1,121,140,SBxSB
11,122,137,SBxSB
13,123,137,SBxSB
8,124,136,SBxSB
9,125,135,SBxSB
12,126,140,SBxSB
14,127,139,SBxSB
14,128,137,SBxSB
11,129,136,SBxSB
13,130,106,SBxSB
14,131,96,SBxSB
3,132,103,SBxSB
16,133,97,SBxSB
3,134,90,SBxSB
15,135,87,SBxSB
5,136,104,SBxSB
15,137,99,SBxSB
3,138,105,SBxSB
11,139,98,SBxSB
12,140,151,SBxSB
14,141,149,SBxSB
9,142,95,SBxSB
12,143,149,SBxSB
3,145,92,SBxSB
3,195,92,SBxSB
